tanggal,kasus aktif,positif harian,orang yang dites harian,meninggal harian
02/03/2020,2,2,,0
03/03/2020,2,0,2,0
04/03/2020,2,0,31,0
05/03/2020,2,0,16,0
06/03/2020,4,2,62,0
07/03/2020,4,0,4,0
08/03/2020,6,2,29,0
09/03/2020,19,13,60,0
10/03/2020,27,8,151,0
12/03/2020,27,0,168,2
13/03/2020,60,35,143,0
14/03/2020,83,27,200,1
15/03/2020,104,21,88,0
16/03/2020,121,17,,0
17/03/2020,156,38,120,2
18/03/2020,197,55,197,12
19/03/2020,269,82,287,6
20/03/2020,321,60,112,7
21/03/2020,392,81,317,6
22/03/2020,437,64,53,10
23/03/2020,500,65,318,1
24/03/2020,600,106,554,6
25/03/2020,701,105,490,3
26/03/2020,780,103,514,20
27/03/2020,913,153,1439,9
28/03/2020,994,109,491,15
29/03/2020,1.107,130,268,12
30/03/2020,1.217,129,129,8
31/03/2020,1.311,114,114,14
01/04/2020,1.417,149,416,21
02/04/2020,1.508,113,232,13
03/04/2020,1.671,196,561,11
04/04/2020,1.751,106,1726,10
05/04/2020,1.911,181,1530,7
06/04/2020,2.090,218,1944,11
07/04/2020,2.313,247,1167,12
08/04/2020,2.494,218,2158,19
09/04/2020,2.761,337,1168,40
10/04/2020,2.924,219,1773,26
11/04/2020,3.229,330,512,21
12/04/2020,3.509,399,7111,46
13/04/2020,3.778,316,878,26
14/04/2020,3.954,282,3675,60
15/04/2020,4.221,297,1373,10
16/04/2020,4.472,380,1974,27
17/04/2020,4.796,407,2159,24
18/04/2020,5.082,325,2288,15
19/04/2020,5.307,327,2797,47
20/04/2020,5.423,185,1530,8
21/04/2020,5.677,375,2424,26
22/04/2020,5.869,283,1188,20
23/04/2020,6.168,357,1286,11
24/04/2020,6.520,436,1916,42
25/04/2020,6.845,396,1978,31
26/04/2020,7.032,275,4433,23
27/04/2020,7.180,214,2435,22
28/04/2020,7.484,415,3135,8
29/04/2020,7.596,260,5240,11
30/04/2020,7.804,347,4567,8
01/05/2020,8.160,433,4187,8
02/05/2020,8.347,292,3330,31
03/05/2020,8.471,349,3144,14
04/05/2020,8.769,395,3049,19
05/05/2020,9.002,484,2863,8
